pls,fk_score,ari_score,reference,abstract
"
	近日，华东理工大学化学与分子工程学院教授陈宜峰课题组分别在《自然-通讯》和《中国化学》上发表论文，在线报道了课题组在丰产金属催化的羰基化研究工作的最新进展。
	过渡金属催化不饱和烃的碳金属化反应是构建碳碳键最为有效的方法之一。该类反应常见的碳金属试剂包括有机锂试剂、格氏试剂及有机锌试剂等，涵盖了多数有机官能团。但由于缺乏有效的方法来制备高活性的酰基金属试剂，不饱和烃的酰基金属化反应鲜有报道。陈宜峰课题组基于丰产金属催化羰基化反应的研究兴趣，今年年初首次实现了不饱和烃的高选择性酰基锌化反应。
	近期，课题组进一步分别发展联烯和苯乙烯衍生物参与的多样性酰基金属化串联反应。联烯含有两个连续共轭的π键，反应位点和竞争反应较多，联烯碳金属化反应的化学、区域及立体选择性的多重调控颇具挑战。该团队以邻氰基取代的苯基联烯作为底物，利用有机锌试剂与常压CO在镍催化剂的作用下原位生成亲核性酰基金属物种的策略，实现了联烯的高选择性酰基锌化/环化串联反应，构建了一系列多取代的环庚三烯酮产物。
	随后，该团队又实现了苯乙烯类衍生物参与的区域发散性酰基金属化串联反应，实现了高度官能团化茚类衍生物的多样性合成。
	在这些工作中，氰基作为亲电试剂的同时，对反应的区域及立体选择性的调控起到至关重要的作用。
	相关论文信息：",None,None,https://doi.org/10.1002/cjoc.202300590,"Transition metal‐catalyzed carbometallation of unsaturated hydrocarbons constitutes one of the most efficient synthetic methodologies for the construction of C—C bond. Recently, the incorporation of organometallic reagent with the CO gas as a nucleophilic acyl synthon could enable the acylmetallation reaction, which greatly increases the horizon of carbometallation chemistry. Herein, we report a nickel‐catalyzed regiodivergent acylzincation of o‐cyano cinnamate ester and o‐cyano styrene, in which the cyano moiety intramolecularly captures zinc intermediates to trigger the tandem cyclization process. This protocol features mild conditions, broad substrate scope and excellent functional group tolerance, thus affording a diverse array of highly functionalized carbocyclic compounds."
"
	近日，杭州高等研究院张夏衡课题组在化学领域权威期刊《德国应用化学》发表了一篇题为“Generation of Aromatic N-Heterocyclic Radicals for Functionalization of Unactivated Alkenes”的研究成果。该研究利用吡啶盐作为芳香杂环氮自由基前体，在光促条件下，通过能量转移方式，发展了一种高效产生各类芳香杂环氮自由基的新策略，并成功地将其应用于对非活化烯烃的氢胺化反应。
	该研究还进一步利用了二硫化物和溴丙二酸二乙酯作为自由基猝灭剂，实现了非活化烯烃的多样性双官能团化，包括硫胺化和溴胺化，可快速合成功能化的杂环胺骨架。此外，作者对溴胺化产物进行了一些应用转化。利用可见光氧化还原的条件，实现了烷基溴的烷基化、酰基化、芳基化和三氟甲基化反应，而且产物的对映选择性有了明显提升，进一步丰富了胺化产物的结构。
	该工作不仅为芳香杂环氮自由基的产生和应用提供了新思路，也为从廉价易得的非活化烯烃出发快速构建生物医药领域重要的含氮杂环骨架提供了新视角。
	相关论文信息：",None,None,https://onlinelibrary.wiley.com/doi/10.1002/anie.202314312,"Nitrogen‐centered radicals (NCRs) have been widely recognized as versatile synthetic intermediates for the construction of nitrogen containing molecules of high value. As such, there has been a long‐standing interest in the field of organic synthesis to develop novel nitrogen‐based radicals and explore their inherent reactivity. In this study, we present the generation of aromatic N‐heterocyclic radicals and their application in a novel and diverse functionalization of unactivated alkenes. Bench‐stable aromatic N‐heterocyclic pyridinium salts were employed as crucial NCR precursors, which enabled the efficient conversion of various unactivated alkenes into medicinally relevant alkylated N‐heterocyclic amines. This approach offers an unexplored retrosynthetic disconnection for the synthesis of related molecules that commonly possess therapeutic value. Furthermore, this platform can be extended to the synthesis of densely functionalized heterocyclic amines by utilizing disulfides and diethyl bromomalonate as radical quenchers. Mechanistic investigations indicate an energy transfer (EnT) pathway involving the formation of a transient aromatic N‐heterocyclic radical, radical addition to unactivated alkenes, and subsequent generation of the amination product through either hydrogen atom transfer (HAT) or radical addition processes."
"
	近日，中国科学院大连化学物理研究所研究员邓德会、副研究员于良团队与厦门大学王野教授团队合作，在合成气直接制多碳醇研究中取得新进展。合作团队利用钾修饰的富边结构硫化钼催化剂，实现了合成气高活性、高选择性制多碳醇，为催化剂活性中心纳米结构与微环境的理性设计提供了借鉴。相关成果发表在《自然—通讯》上。
	多碳醇，指含有2个碳原子以上的醇（即C+OH），其被广泛用作化工原料、燃料、燃料添加剂和溶剂等。合成气制C+OH是煤、天然气和生物质等非石油基碳资源的高值化转化的重要途径之一。该反应涉及两个关键步骤：C-O断键和C-C偶联。对这两个步骤的精准调控是实现合成气高活性、高选择性制C+OH的关键，其具有挑战性。
	合作团队基于纳米孔道限域生长机制，合成了钾助剂修饰的、具有丰富边结构且尺寸均一的二维硫化钼纳米片阵列催化剂，其在240℃、50bar下，实现了17%的一氧化碳转化率和45.2%的C+OH选择性。用，促进了醇分子的脱附，两者结合实现合成气高活性、高选择性制COH。
	该工作为合成气转化新型催化剂的开发提供了新思路。",None,None,https://doi.org/10.1038/s41467-023-42325-z,"Selective hydrogenation of carbon monoxide (CO) to higher alcohols (C2+OH) is a promising non-petroleum route for producing high-value chemicals, in which precise regulations of both C-O cleavage and C-C coupling are highly essential but remain great challenges. Herein, we report that highly selective CO hydrogenation to C2-4OH is achieved over a potassium-modified edge-rich molybdenum disulfide (MoS2) catalyst, which delivers a high CO conversion of 17% with a superior C2-4OH selectivity of 45.2% in hydrogenated products at 240 °C and 50 bar, outperforming previously reported non-noble metal-based catalysts under similar conditions. By regulating the relative abundance of edge to basal plane, C2-4OH to methanol selectivity ratio can be overturned from 0.4 to 2.2. Mechanistic studies reveal that sulfur vacancies at MoS2 edges boost carbon-chain growth by facilitating not only C-O cleavage but also C-C coupling, while potassium promotes the desorption of alcohols via electrostatic interaction with hydroxyls, thereby enabling preferential formation of C2-4OH."
"
	近日，深圳大学赵伟课题组利用膜电极反应器研究了电催化加氢还原重要木质纤维素单体生物质有机小分子，突破了析氢等竞争性副反应对于有机电催化加氢速率与能量转换效率的制约，实现工业级大电流密度的同时，保持了目标产物的高法拉第效率与反应器长时间稳定运行，相关研究以“Electrocatalytic valorization of lignocellulose-derived aromatics at industrial-scale current densities”为题，于2023年11月9日发表在期刊上。
	赵伟研究员为论文的唯一通讯作者，彭焘和张文彬硕士为共同第一作者，深圳大学高等研究院为唯一完成单位。
	基于全球气候变暖，碳减排和碳中和的背景，利用可再生能源生产的绿色电力，将生物质通过电化学的方法升级为高附加值化学品和燃料吸引了越来越多的研究关注与兴趣。通过热解自然界中不可食用的木头等材料获得的木质纤维素生物质油包含有约40–55 %的呋喃和酚类木质素单体（如图1），可作为有机原料应用于多种重要的化工与医药生产，加氢还原可以用来稳定不饱和的生物质油以及提升价值。然而，当前的相关有机电催化加氢反应均存在生产速率（反映为目标产物的偏电流密度）过低的问题，这导致无法满足进行实际工业化生产的需求。
	基于前期的工作基础，赵伟课题组研发了适用于电有机加氢反应的膜电极反应器，使用金属铑作为扩散电极，对呋喃和木质素单体有机小分子进行耦合电解水加氢反应。金属铑电极巨大的表面活性面积与选择性催化活性，膜电极反应器的高效传质能力，巧妙地平衡了大电流和能量利用效率之间的矛盾，实现了大于300 mA•cm-2的工业级电流密度，以及高达64%的目标加氢产物法拉第效率，极大提升了此类电有机反应的速率，拓展了实际生产应用的可能性。
	原位电化学红外吸收光谱实验观测了电催化加氢的具体反应路径，明确了机理。技术经济可行性分析表明该高效电催化加氢系统对于实际生物质油炼制应用具有大规模盈利的潜力，该工作对生物质有机分子电催化加氢升级的研究以及新型高效的反应器设计开发具有借鉴意义。","score: 33.03, grade_level: '33'","score: 69.3115, grade_levels: ['college_graduate'], ages: [24, 100]",https://doi.org/10.1038/s41467-023-43136-y,"Electrocatalytic hydrogenation of lignocellulosic bio-oil to value-added chemicals offers an attractive avenue to use the increasing intermittent renewable electricity and biomass-derived feedstocks. However, to date the partial current densities to target products of these reactions are lower than those needed for industrial-scale productivity, which limits its prospects. Here we report a flow-cell system equipped with a Rh diffusion electrode to hydrogenate lignocellulose-derived aromatic monomers, such as furans and lignin monomers, to value-added chemicals. We achieve high faradaic efficiencies up to 64% at industrial-scale current densities of 300–500 mA cm−2, representing high productivities to target products. A screening of electrocatalysts indicates that only by highly-electrolyte-permeable Rh diffusion electrodes are we able to unite current density with faradaic efficiency. We apply in-situ infrared reflection–absorption spectroscopy to investigate the electrode-potential-dependent reaction pathways and intermediates, confirming a wide potential window for efficient electrocatalytic hydrogenation of lignocellulose-derived aromatics to target products."
"
	近日，华南师范大学化学学院教授郑奇峰团队在锂电池聚合物电解质领域取得重要研究进展。相关成果发表于《能源与环境科学》。
	锂金属电池能量密度高，但金属锂存在热力学不稳定，与传统有机液态电解质会发生持续的副反应，造成电池循环寿命差、库伦效率低。此外，有机液态电解质易挥发、易燃等问题使得锂金属电池存在较大的安全隐患。固态电解质能较好的解决这些瓶颈问题，但固态电解质和电极之间的固-固界面接触差，限制了其实际应用
	基于此，郑奇峰团队借鉴有机液态电解质中“弱溶剂化”作用的概念，通过弱溶剂化的1,3-二氧六环（DOX）单体开环聚合，原位聚合制备了聚-1,3-二氧六环（P-DOX）电解质。其延长的烷基链降低了HOMO能级，使得P-DOX展示出非常优异的氧化稳定性（> 4.7 V）。
	此外，延长的烷基链也削弱了分子的溶剂化能力，这不仅使P-DOX具有更高的锂离子迁移数（0.75），而且有助于形成高度坚固且锂离子传导性好的富含无机物的SEI膜。因此显著提升了聚合物电解质与锂金属之间的界面兼容性，使得锂的沉积形貌非常致密且光滑，并且获得了超过1300小时的优异锂沉积/剥离稳定性。
	得益于上述优点，P-DOX固态电解质在包括NMC111、NMC811和LiCoO2在内的各类高电压正极材料的电池中，在4.5 V的高截止电压下，均展示出非常优异的循环稳定性。此外，其制备方法与商业化电池的组装和制造工艺相同，因此具有很好的商业化前景。
	论文通讯作者郑奇峰表示，该研究表明，通过调控单体分子的结构可以有效提高聚合电解质的氧化稳定性和锂金属兼容性，为高比能锂电池用聚合物电解质的设计提供了新思路。","score: 34.04090909090908, grade_level: '34'","score: 62.686363636363645, grade_levels: ['college_graduate'], ages: [24, 100]",https://doi.org/10.1039/D3EE02797J,"In situ polymerization of six-membered cyclic 1,3-dioxane leads to a polymer electrolyte with superior oxidation stability and elevated Li-metal compatibility, which enables the stable operation of Li-metal batteries with various state-of-the-art high-voltage cathodes."
"
	中国科学院南海海洋研究所研究员张长生团队在多环大环内酰胺类天然产物（PoTeMs）生物合成酶学机制研究方面取得新进展。近日，相关成果在线发表于《德国应用化学》。
	在自然界中，少数细胞色素P450酶可以轻松有序地催化多步C-H键活化反应，且具有高度的区域/立体/化学选择性，是形成许多重要天然产物的关键环节。这些P450酶被称为多功能P450酶，是合成生物学应用的重要酶元件，但由于解析的复合物晶体结构有限，控制多步反应和精准选择性的酶学机制仍有待阐明。
	为了揭开P450酶IkaD和CftA催化功能差异的神秘面纱，研究人员解析了IkaD和CftA与共同底物斑鸠霉素的复合结构。发现二者的整体三维骨架基本重合，但参与构成催化口袋的FG区域的构象明显不同，从而影响了催化口袋的形状，最终决定了酶催化反应的区域和化学选择性。
	研究人员通过理性设计，对远离血红素铁反应中心的极性氨基酸开展单点突变，发现IkaD的部分突变酶能够改变催化反应的区域选择性，形成天然分离未发现过的人工新产物。他们以不同骨架的PoTeMs底物开展系统性的体外酶学测试，发现IkaD和CftA都能识别催化非天然底物，但区域选择性不同。分别解析IkaD和CftA与非天然底物的复合物晶体结构，发现非天然底物并没有诱导IkaD和CftA发生构象变化，保持了二者FG区域的构象差异，最终决定了对非天然底物的位点选择性和反应顺序。
	该研究首次发现了FG区域的构象差异导致同一底物斑鸠霉素在IkaD和CftA催化口袋中以不同的姿势朝向酶反应中心，造成了二者催化反应的区域选择性和化学选择性不同。这些发现为多功能P450酶如何控制位点选择性、反应顺序和反应类型提供了蛋白三维晶体结构方面的解答，并为P450酶理性改造提供了参考，对于认知海洋天然产物生物合成途径和丰富海洋微生物酶元件库具有重要的科学意义。",None,None,https://doi.org/10.1002/anie.202310728,"Regio‐ and chemoselective C−H activation at multi‐positions of a single molecule is fascinating but chemically challenging. The homologous cytochrome P450 enzymes IkaD and CftA catalyze multiple C−H oxidations on the same polycyclic tetramate macrolactam (PoTeM) ikarugamycin, with distinct regio‐ and chemoselectivity. Herein we provide mechanistic understanding of their functional differences by solving crystal structures of IkaD and CftA in complex with ikarugamycin and unnatural substrates. Distinct conformations of the F/G region in IkaD and CftA are found to differentiate the orientation of PoTeM substrates, by causing different binding patterns with polar moieties to determine site selection, oxidation order, and chemoselectivity. Fine‐tuning the polar subpocket altered the regioselectivity of IkaD, indicating that substrate re‐orientation by mutating residues distal to the oxidation site could serve as an important method in future engineering of P450 enzymes."
"
	近日，中国科学技术大学工程科学学院特任教授谈鹏团队在《先进能源材料》期刊上发表论文，相关研究工作将提升对于锂氧气电池多孔电极中伴随微观结构变化的电化学与传质耦合机理的科学认识，为新一代电极设计提供指导。
	锂氧气电池因极高的理论能量密度而具有极大的发展潜力。过氧化锂作为固体放电产物，一方面堵塞电极孔隙，阻碍低浓度氧气在多孔电极中扩散；另一方面，钝化电极表面，造成电子转移受阻。然而，明确电池失效的根本原因仍具有挑战性。受限于表征技术和均质模型，目前对于多孔电极内部电化学和传质耦合机理还缺乏定量认识。
	为排除孔连通和分布不均匀性造成的干扰，研究团队设计并构建一种传输通道阵列排布且定向可控的多孔电极，允许活性物定向传输。因此，通道单元的活性物质传输路径、通量，电化学反应界面和产物储存空间都可以定量。针对通道单元，构建了非均质的三维瞬态模型，以反映整个电极中电势场和浓度场的时空分布细节。
	联合实验和仿真结果表明，多孔电极的传输通道尺寸达到临界值（r和r，r> r）时，将影响锂氧气电池的工作机制：当通道单元内径低于r时，氧气传输作为电化学性能的主要控制因素，其耗尽导致了低放电容量。当内径处于r和r之间时，电子传输的影响逐渐显著，粒径分布发生逆转；氧气侧的局部响应电流受电子传输限制，隔膜侧的局部响应电流受氧气传输限制。当内径超过r，放电结束时，全电极范围的膜状过氧化锂沉积至极限厚度，电池失效归因于电子转移能力丧失。
	此外，该项工作首次定量分析了超氧根的分布和扩散特性。在过氧化锂膜未沉积到极限厚度时，超氧根遵循氧气分布特点，从氧气侧扩散到隔膜侧。当氧气侧的过氧化锂率先达到极限厚度时，超氧根的浓度分布和扩散方向发生逆转，由低氧区向高氧区扩散。
	研究人员表示，经过实验验证，相关结论对于无序孔电极具有普适性和启发性意义。对于微孔电极，提升氧气在电解液中的溶解度和扩散速率是强化电化学性能的有效方式；而对于大孔电极，应通过电极修饰、催化剂设计等途径提升过氧化锂膜电导率并降低其沉积率，以缓解固-液界面钝化。","score: 39.03285714285714, grade_level: '39'","score: 73.26904761904763, grade_levels: ['college_graduate'], ages: [24, 100]",https://doi.org/10.1002/aenm.202302816,"The lithium–oxygen battery has the highest theoretical specific energy among all battery systems, while the actual value falls significantly short. The hindered oxygen and/or electron transport result(s) in limited utilization of the porous air electrode, while achieving a quantitative understanding of the electrochemistry and mass transport coupling is challenging. Herein, a porous electrode with highly consistent and controllable channel units is pioneered that excludes the randomness of disordered pores and consequently enables the investigation of control mechanisms. A three‐dimensional dynamic heterogeneous model is developed, providing the first spatio‐temporal distribution of LiO2 and revealing its reversed diffusion trajectories at limited electron transport. The synergistic combination of experiments and models identifies the crucial role of channel sizes on mechanisms that are divided into mass, hybridization, and electron transport control. For macropores, improving Li2O2 conductivity and mitigating solid‐liquid interface damage are urgent compared to enhancing oxygen diffusion. The unit model offers a promising approach to quantitatively understand the reaction and transport mechanisms in other battery systems with porous electrodes. This work represents a break through in knowledge of control mechanisms and guides the design of disordered electrodes for high‐performance lithium–oxygen batteries."
"
	金属—有机骨架（MOF）主要是由金属“模块”和有机分子“模块”组成，具有孔径大小和形状均可调节、容易进行修饰的优点，被认为是理想的制膜材料，在催化、分离纯化、能源等领域都具有广阔的应用前景。近日，中国科学院大连化学物理研究所研究员杨维慎、研究员班宇杰团队实现了取向金属—有机框架（MOF）膜用于直链/支链正异构烷烃分离，该过程与精馏相比，可节省91%的分离能耗。相关成果发表在《自然—通讯》上。
	C-C的直链/支链正异构烷烃是重要的石油化学品。其中，直链烷烃可裂解制乙烯，支链烷烃可调和汽油，将二者分离是实现下游产物优化利用的前提。但是，烷烃分子化学性质与极性相似，分离难度大。解决这一难题的关键在于如何基于正异构烷烃分子尺寸差异，构建适配型筛分孔阵列。
	而金属—有机框架丰富的孔道结构，为正异构烷烃分子筛分提供了机遇。但由于MOF孔结构多为各向异性，若将MOF制备成膜，则需控制其取向，以确保特定尺寸筛分孔的面外有序排列。HKUST-1是一种典型的金属—有机框架材料，其中，贯穿{111}晶面的三角孔尺寸约为0.46 nm，恰好位于正异构烷烃的动力学直径之间，是理想的筛分孔。因此，制备{111}取向HKUST-1膜有望实现正异构烷烃分离。
	本工作中，团队采用溶液中静态播种预晶核与移除溶液热转变过程耦合，在终止竞争性体相成核与生长的同时，将反应完全限制在载体界面处，并凭借界面显著的梯度型养分变化，对目标晶面的生长速率进行调控，获得由八面体构筑块紧密砌合的{111}取向HKUST-1膜。该膜可实现多种C-C直链/支链正异构烷烃高效筛分，分离能耗相比精馏可降低91%。","score: 44.307956204379565, grade_level: '44'","score: 70.03554744525547, grade_levels: ['college_graduate'], ages: [24, 100]",https://doi.org/10.1038/s41467-023-42397-x,"Extraction of low concentration linear alkanes (C5-C7) from various isomers is critical for the petrochemical industry. At present, the separation of alkane isomers is mainly accomplished by distillation, which results in substantial energy expenditure. Metal-organic frameworks (MOFs) with well-tailored nanopores have been demonstrated to be capable of realizing molecule-level separation. In this study, oriented HKUST-1 membranes are formulated according to the morphology-biased principle and finally realized with a low dose synthesis method for terminating undesired crystal nucleation and growth. The fully exposed triangular sieving pore array of the membrane induces configuration entropic diffusion to split linear alkanes from mono-branched and di-branched isomers as well as their cyclical counterparts. Typically, the current separation technique consumes 91% less energy than vacuum distillation. Furthermore, our membranes can realize one-step extraction of normal-pentane, normal-hexane and normal-heptane from a ten-component alkane isomer solution that mimics light naphtha."
"宗/特定领域高效分离需求的分离膜研发提供科学与技术基础。相关成果发表在《德国应用化学》上。
	分离纯化在工业生产中占据重要地位。随着行业细分与迭代升级，分离目标日益多样化、特制化。MOF材料凭借其丰富的骨架种类、多样化孔结构和高度可设计性等优势，被认为是理想的优质膜材料候选之一。然而，高性能MOF膜的开发过程耗时费力，且受难以避免的非均相成核、缺陷、裂痕等问题困扰，无法准确表达材料本征孔道结构分离能力，致使MOF膜的实际分离性能远低于理论模拟数值。目前，用于膜分离的MOF数量，与剑桥晶体学数据中心公开的MOF材料数量相比，只是沧海之一粟。因此，需要开发快速制备任意MOF膜，并且能精准展示该MOF本征分离能力的方法。
	积木组件相互独立，若选择不同形状组件相互配合紧固，可搭建成千变万化的功能模型。受这种结构特征的启发，研究团队提出了一种模块化定制无缺陷高效MOF分离膜的新策略。该膜结构包含两大平行模块，一个是基于非均相成核特点形成的离散MOF模块，主要利用本征孔道结构实现分子传质与分离；另一个是限域界面聚合形成的高度交联、超低渗透的聚酰胺模块，负责消除MOF模块间缺陷。在该策略指导下，团队随机替换MOF模块可定制相应MOF分离膜，实现了高性能MOF分离膜的快速产出。此外，团队单独对膜内MOF模块骨架进行无损调控，实现了分离精度的倍增。
	为验证上述策略，团队选取了四种具有不同结构和表面化学性质的MOFs材料，覆盖了一维至三维孔道类型，构筑了四种MOF分离膜，其所制备的MOF分离膜可根据选用MOF模块孔道差异展现出可调控的分离性能。此外，这一复合膜的独特结构还允许执行框架配体局域交换策略，实现对MOF模块孔窗尺寸的无损调控，调控后的膜对氢气/二氧化碳选择性相较于初始膜提高了约200%。
	研究团队长期致力于框架膜设计与精准分离应用研究，前期在超薄框架膜的研究上取得了系列成果。在此基础上，团队另辟蹊径，规避了框架膜研发传统路线与瓶颈问题，初步实现了批量化、定制化的框架分离膜柔性制造。
	该工作建立了MOF材料筛选—普适性膜产品制造—高精分离验证—纳微结构无损调控的全链条分离膜研究模式，为定制高性能分子筛膜和分离纯化获取高品质产品开辟了一条新途径。","score: 41.936976744186055, grade_level: '42'","score: 76.77023255813953, grade_levels: ['college_graduate'], ages: [24, 100]",https://doi.org/10.1002/anie.202315057,"Metal–organic frameworks (MOFs) are considered ideal membrane candidates for energy‐efficient separations. However, the MOF membrane amount to date is only a drop in the bucket compared to the material collections. The fabrication of an arbitrary MOF membrane exhibiting inherent separation capacity of the material remains a long‐standing challenge. Herein, we report a MOF modular customization strategy by employing four MOFs with diverse structures and physicochemical properties and achieving innovative defect‐free membranes for efficient separation validation. Each membrane fully displays the separation potential according to the MOF pore/channel microenvironment, and consequently, an intriguing H2/CO2 separation performance sequence is achieved (separation factor of 1656–5.4, H2 permeance of 964–2745 gas permeation unit). Taking advantage of this strategy, separation performance can be manipulated by a non‐destructive modification separately towards the MOF module. This work establishes a universal full‐chain demonstration for membrane fabrication‐separation validation‐microstructure modification and opens an avenue for exclusive customization of membranes for important separations."
"
	近日，中国科学院大连化学物理研究所研究员汪国雄和研究员高敦峰团队，在一氧化碳电解制备燃料和化学品研究中取得新进展。他们提出了通过构建金属—有机界面调控反应微环境，实现高选择性一氧化碳电解制乙酸的新策略。相关成果发表在《德国应用化学》。
	二氧化碳电解制乙烯、乙酸等多碳产物是一种提高可再生能源消纳水平和实现碳循环利用的负碳技术。碱性二氧化碳电解可以实现多碳产物的高效电合成，但二氧化碳利用效率低。
	上述问题有望通过串联催化路线解决，即先通过固体氧化物或酸性二氧化碳电解制一氧化碳，再通过碱性一氧化碳电解制多碳产物。当前，一氧化碳电解制多碳产物已经实现了高电流密度和高多碳选择性，但在高电流密度下单一多碳产物选择性依然较低。
	本工作基于团队自主研发的碱性膜电解器，利用分子催化剂的原位电化学重构，构建出了金属（铜）—有机界面，诱导形成了有利于乙酸路径的反应微环境，从而提高了乙酸选择性。工况拉曼光谱表征和理论计算结果表明，铜—有机界面促进了一氧化碳吸附以及乙酸相对于乙烯等其它多碳产物的形成。
	深入研究催化活性位点、有机配体和反应中间物种之间的复杂相互作用，有望进一步实现高活性、高选择性二氧化碳/一氧化碳电解制其它单一多碳产物。",None,None,https://doi.org/10.1002/anie.202309893,"Electrochemically converting CO2 to valuable chemicals holds great promise for closing the anthropogenic carbon cycle. Owing to complex reaction pathways and shared rate‐determining steps, directing the selectivity of CO2/CO electrolysis to a specific multicarbon product is very challenging. We report here a strategy for highly selective production of acetate from CO electrolysis by constructing metal‐organic interfaces. We demonstrate that the Cu‐organic interfaces constructed by in situ reconstruction of Cu complexes show very impressive acetate selectivity, with a high Faradaic efficiency of 84.2 % and a carbon selectivity of 92.1 % for acetate production, in an alkaline membrane electrode assembly electrolyzer. The maximum acetate partial current density and acetate yield reach as high as 605 mA cm−2 and 63.4 %, respectively. Thorough structural characterizations, control experiments, operando Raman spectroscopy measurements, and density functional theory calculation results indicate that the Cu‐organic interface creates a favorable reaction microenvironment that enhances *CO adsorption, lowers the energy barrier for C−C coupling, and facilitates the formation of CH3COOH over other multicarbon products, thus rationalizing the selective acetate production."
"
	近日，食品学院生物界面与生物检测研究所教授徐丽广团队在国际化学和材料领域知名刊物《德国应用化学》上，发表了其对界面自组装手性硒纳米膜的对映选择性识别的最新研究成果。
	由于对映构型的手性分子参与不同的生理过程，手性对映体的定性鉴别和定量检测在生命化学和医学领域具有重要意义。近年来，手性纳米材料由于其独特的内在性质而表现出对映选择性特征为构建各种对映体手性识别器提供了机会，其中手性纳米膜由于优异的稳定性和更高的手性配体密度，使它成为构建定量对映选择性识别的优秀手段之一。但是，具有手性识别能力的手性纳米膜构建仍具有较大的挑战性。
	对此，徐丽广团队制备了手性硒纳米颗粒，通过界面自组装技术构建了大规模可控的手性硒纳米膜，其具有光驱动离子传输性质用于对映选择性识别，实现了临床样本的手性分子的定量对映选择性识别检测。
	徐丽广表示，调控手性纳米膜的结构影响光驱动离子传输。在制备纳米膜过程中，以硒纳米颗粒为构筑单元，调控纳米颗粒的粒径、手性配体的种类和浓度等，实现了手性纳米膜三维结构的有效控制。在光照下，手性纳米膜产生了更高的光电流，说明手性硒膜构建了更好的孔道环境，从而更加有利于光驱动离子传输。
	此外，该研究还发现了该手性纳米膜具有出色的对映选择性识别能力。与D型犬尿氨酸相比，在D型纳米膜中加入L型犬尿氨酸表现出更大的电流变化，与此相对的是，L型纳米膜则呈现相反的识别能力。进而表明，手性硒纳米膜的对映选择性识别不仅使该系统在混合体系中仍具有高灵敏的对映选择性识别，同时也可在临床样本中定量选择性识别和检测。
	该研究提出了光驱动离子传输的手性硒纳米膜的设计和构建，在对映选择性识别的应用中表现出高的灵敏度，实现在临床样本中的定量选择性识别。该系统为开发用于生物医学科学的多功能手性纳米膜提供了一条新途径。
	江南大学2020级博士生孟丹为论文第一作者，徐丽广为通讯作者。",None,None,https://doi.org/10.1002/anie.202311416,"Here, we report the synthesis of chiral selenium nanoparticles (NPs) using cysteine and the interfacial assembly strategy to generate a self‐assembled nanomembrane on a large‐scale with controllable morphology and handedness. The selenide (Se) NPs exhibited circular dichroism (CD) bands in the ultraviolet and visible region with a maximum intensity of 39.96 mdeg at 388 nm and optical anisotropy factors (g‐factors) of up to 0.0013 while a self‐assembled monolayer nanomembrane exhibited symmetrical CD approaching 72.8 mdeg at 391 nm and g‐factors up to 0.0034. Analysis showed that a photocurrent of 20.97±1.55 nA was generated by the D‐nanomembrane when irradiated under light while the L‐nanomembrane generated a photocurrent of 20.58±1.36 nA. Owing to the asymmetric intensity of the photocurrent with respect to the handedness of the nanomembrane, an ultrasensitive recognition of enantioselective kynurenine (Kyn) was achieved by the ten‐layer (10L) D‐nanomembrane exhibiting a photocurrent for L‐kynurenine (L‐Kyn) that was 8.64‐fold lower than that of D‐Kyn, with a limit of detection (LOD) of 0.0074 nM for the L‐Kyn, which was attributed to stronger affinity between L‐Kyn and D‐Se NPs. Noticeably, the chiral Se nanomembrane precisely distinguished L‐Kyn in serum and cerebrospinal fluid samples from Alzheimer's disease patients and healthy subjects."
