
Trisomy 21,"A term used by scientists and doctors to refer the cause of Down Syndrome, which is having three (tri) copies of chromosome 21 in each sell (somy)."
Gene,A stretch of DNA bases that serve as instructions for how to make a specific protein by stringing together the correct amino acids in the appropriate order.
Meiosis,"The process by which sex cells (sperm and egg) are created. In humans, these cells normally have half the regular number of chromosomes (23)."
Mitosis,"The process by which a body cell divides into two identical cells, each with the same number of chromosomes (46 in the normal human)."
Nondisjunction,When a pair of chromosomes does not separate properly during mitosis or meiosis.
Translocation,When part of a chromosome breaks off and sticks onto another chromosome.
Familial,"A term for all things relating to a family. A familial condition is one that gets passed down through families via genes, as is the case in translocation down syndrome."
Karyotype,A picture of a person’s complete set of chromosomes used to identify health conditions like down syndrome that are caused by the wrong number of chromosomes or a translocation.
Visceral Sense,"The sensations we receive from within our body cavity, such fullness of the stomach, chest pain, or the need to use the bathroom."
Vestibular Sense,"Our sense of balance and of various aspects of self-movement, such as how fast we are moving and in which direction."
Multisensory Integration,The process by which the brain puts together information it receives from multiple senses into a single sensation.
Proprioception,The natural awareness of the body’s position and movement.
Superior Colliculus,"A small pea-sized organ deep inside the brain, one on each side. Among other things, it helps the brain combine information from multiple senses."
Neuron,A cell of the brain or nervous system that can transmit electrical signals that allow cells to communicate or that can transmit sensations from the senses to the brain.
Synesthesia,A mental condition in which stimulation of one sensory faculty is experienced as the stimulation of that sensory faculty and of a different sensory faculty.
Chromesthesia,"A mental condition in which those who have the condition experience sounds as both sounds and visual sensations, such as color or shapes."
Weather Characteristics,"Things that can be measured in the atmosphere, for example, temperature, pressure, or humidity."
Precipitation,"Any form of water, liquid or solid, that falls to the Earth’s surface, for example, rain, sleet, or snow."
Meteorologist,A person who works with understanding or predicting the weather.
Water Vapor,Water in the form of a gas.
Condense,The process of a substance (like water) changing from gas to liquid form.
Air Pressure,The pressure caused by the weight of the air (which has mass) above a certain location.
Weather Model,A program usually run on a super-computer which simulates the atmosphere and weather.
Ensemble Method,"A weather model that creates many suggestions for how the weather could evolve, which gives meteorologists information on the chances of certain events, like precipitation, occurring."
Mutation,"Any change in the genetic material of an organism, specifically a modification of its DNA sequence."
Contagious,"Something can be passed from one person to another, like a cold or a flu when you’re close to someone who’s sick."
Bivalves,"Aquatic organisms with bodies that are enclosed by two “valves”, which are commonly known as shells. Examples include clams and mussels."
Haemolymph,"Fluid that circulates within the bodies of some invertebrates such as insects, arachnids, and mollusks. Its function is similar to blood."
Mitosis,"The process by which a single cell divides into two cells, which involves replicating and splitting up the DNA."
DNA,"Deoxyribonucleic acid, the molecule that contains the genetic information of cells."
Biodiversity,"It refers to the rich variety of life on Earth, including different species of plants, animals, and living things in a place."
Biodiverse,Having a high level of species of living organisms.
Endemism,"Refers to a species found only in one area, not anywhere else on the planet. These species are called endemic species."
Centers of Endemism,Areas inhabited by species not found anywhere else on the planet.
Allopatric Speciation,The mechanism by which one species separates into two (or more) due to being separated by physical barriers.
Ecosystem,The organisms and physical environment in a particular area (such as a river or forest).
Nitrogen Cycle,"How nitrogen changes into different forms (such as nitrite and nitrate) and moves through different parts of the Earth including living organisms, land, oceans, and air."
Nitrite-Oxidizing Bacteria (NOB),Bacteria that turn nitrite into nitrate as part of the nitrogen cycle.
Sequencing,The process of determining the order of the DNA bases in genes and genomes.
Genome,The complete set of genetic information within a cell (DNA for most organisms) containing all of the necessary information to function.
Gene,Short stretches of DNA within the genome that contain instructions to make proteins.
Metabolism,"Chemical processes in a cell that maintain life, such as building cell structures and producing energy."
Wastewater,"Water than has been previously used in different ways, such as water running off fields on farms or water entering a river after sewage treatment."
Geologic Time Scale,"A timeline that organizes Earth’s history into smaller parts called eons, eras, periods, epochs, and ages, helping us understand Earth’s long history."
Anthropocene,"A proposed period in Earth’s history characterized by the significant impact of human activities on the planet, signifying the “Age of Humans.”"
Plastic,"A versatile material that is lightweight, strong, flexible, and cheap, but has become one of the major pollutants on Earth due to its resistance to degradation."
Plasticene or Plastic Age,"A proposed stage in Earth’s history marked by the widespread presence of plastic in the environment, including in the ground, rocks, and living organisms."
Life Cycle of Plastics,"The entire journey of plastics, from their creation using fossil fuels to their movement through the environment and eventual degradation."
Plastiglomerates,"A new type of sedimentary rock composed of both minerals and plastic, formed from the combination of plastic debris and natural geological processes."
Technofossils,"Objects made by humans, such as toys or tools, found embedded inside rocks, serving as a record of human activity."
Urban Fossils,"Plastic and other human-made materials embedded in urban infrastructures like roads or sidewalks, helping scientists understand historical plastic usage and human activities."
Biomes,"Regions of the world classified according to similar conditions, such as climate (temperature, weather, humidity), soil type, animals, and plants."
Biodiversity,Diverse kinds of living things in a given area and the interactions between them.
Human Impacts,"Effects or changes caused by human activities, such as deforestation, agriculture, cattle farming, or build cities."
Biological Indicators,Organisms that help researchers understand the health of the environment.
Deforestation,"Clearing, or cutting down, of forest environments, by humans who want to use the land for other purposes, like farming, or building houses."
Generalist Species,"Species that can live in many types of environments, use a variety of resources, and generally have a varied diet."
Aquifer,An underground layer of porous rock or soil that collects and transports water that people can pump out and use.
Aquitard,An underground layer of rock or sediment that slows down or permits the flow of groundwater between aquifers above and below it.
Nutrients,A substance that provides nourishment. Nutrients are contained in food and are essential for life and for the growth of biology.
Algal Blooms,Dense layers of tiny green plants (algae) that occur on the surface of the ocean when there is an overabundance of nutrients.
Electrical Conductivity,The ability of a material to allow electric currents to pass through it.
Radiation,Energy carried through space by particles like light and atoms
Alzheimer’s Disease,A brain disease that causes problems with memory
Particle Accelerator,A very specialized machine that uses electricity and magnets to shoot small particles like atoms at very high speeds
Genetically Engineered,Artificial changes were made to the DNA
Mucilage,"A thick, sticky, gel substance produced by plants, composed mainly of polysaccharides."
Polysaccharides,Long chains of sugar molecules.
Microorganism,"Living things that are too small to be seen with the naked eye so they must be viewed under a microscope. Some examples are bacteria, molds, and viruses."
Parasitic Plant,A plant that lives in or on another plant (the host) and gets some or all of its nutrients and energy from the host.
Carnivorous Plant,"A plant that gets nutrients from trapping and consuming other organisms like insects, but still generates some energy from photosynthesis."
Bioadhesive,Natural substances that can be used as sticky adhesives or glues.
